10 threads
4.83908;0.04;10;40
4.84247;0.09;0;10
4.84247;0.07;0;10
4.84247;0.08;0;10
4.87052;0.06;60;60
4.91146;0.03;20;90
4.91379;0.04;20;60
4.9155;0.04;50;80
4.9381;0.03;50;50
4.94389;0.05;40;70
4.96606;0.05;40;80
4.99312;0.04;10;30
5.00006;0.02;60;90
5.00463;0.02;60;80
5.00588;0.02;30;40
5.01958;0.04;10;20
5.03356;0.02;50;70
5.03406;0.02;10;90
5.03589;0.02;70;90
5.03809;0.03;10;30
5.04147;0.02;70;80
5.05029;0.02;50;60
5.05358;0.04;10;80
5.06745;0.05;40;90
5.07968;0.02;50;80
5.10015;0.02;10;70
5.10858;0.02;50;50
5.11842;0.04;50;70
5.15361;0.02;60;70
5.18221;0.02;50;90
5.19043;0.03;20;70
5.20202;0.03;20;80
5.22247;0.02;20;50
5.27866;0.02;70;70
5.35457;0.02;30;60
5.39028;0.01;10;50
5.393;0.01;0;50
5.39911;0.03;30;60
5.42528;0.02;30;30
5.42841;0.04;0;10
5.49975;0.02;20;60
5.51283;0.03;20;60
5.54453;0.04;10;70
5.58312;0.03;10;80
5.63706;0.02;20;70
5.65449;0.03;10;90
5.65519;0.02;0;80
5.69051;0.02;60;60
5.72199;0.03;10;70
5.72685;0.01;10;20
5.74581;0.01;30;80
5.74734;0.01;40;80
5.74924;0.01;10;90
5.75033;0.01;40;90
5.75033;0.01;30;90
5.75033;0.01;20;90
5.75737;0.01;30;70
5.75737;0.01;40;40
5.75737;0.01;40;70
5.75737;0.01;40;50
5.75737;0.01;40;60
5.76693;0.03;0;40
5.79142;0.01;20;50
5.80116;0.01;30;50
5.836;0.03;10;20
5.85058;0.02;20;40
5.86547;0.1;10;10
5.89926;0.04;0;80
5.89963;0.03;0;60
5.89965;0.02;0;60
5.94889;0.01;10;80
5.96498;0.01;10;70
5.96607;0.01;0;70
6.00421;0.01;0;60
6.01644;0.01;30;30
6.02256;0.01;0;40
6.02358;0.01;20;60
6.02574;0.01;20;80
6.03677;0.01;10;60
6.03947;0.01;30;60
6.07185;0.03;0;90
6.09691;0.02;0;90
6.21238;0.04;0;90
6.34109;0.03;10;40
6.35632;0.03;10;50
6.37112;0.1;0;10
6.38471;0.03;0;50
6.42699;0.02;10;40
6.42724;0.01;20;70
6.45668;0.02;0;50
6.49039;0.02;0;40
6.49563;0.02;10;60
6.52785;0.02;20;30
6.56239;0.02;10;20
6.62534;0.02;10;30
6.63596;0.01;10;30
6.64802;0.04;10;90
6.66613;0.04;0;20
6.72301;0.04;0;70
6.724;0.01;10;40
6.72586;0.03;0;80
6.73755;0.01;50;80
6.73939;0.01;70;80
6.74054;0.01;60;80
6.74112;0.01;50;90
6.74112;0.01;70;90
6.74248;0.01;0;90
6.74911;0.01;50;50
6.76692;0.01;60;90
6.77258;0.01;50;60
6.77258;0.01;50;70
6.77461;0.01;60;60
6.80139;0.01;70;70
6.80145;0.01;60;70
6.82841;0.03;10;10
6.83223;0.02;0;30
6.89315;0.01;20;30
6.89614;0.03;0;10
6.89708;0.02;0;70
6.93206;0.01;30;40
6.94214;0.01;0;80
6.95388;0.01;20;40
7.02149;0.03;0;70
7.07925;0.01;0;30
7.15159;0.02;10;50
7.25694;0.02;20;20
7.36604;0.03;10;60
7.55216;0.01;20;20
8.10593;0.02;10;10
8.58399;0.03;0;20
8.86236;0.02;0;10
8.89671;0.02;0;20
9.63807;0.01;0;20
11.1746;0.01;10;10
13.7658;0.01;0;10
14.5745;0.02;0;0
15.5661;0.03;0;0
18.3071;0.04;0;0
18.3956;0.01;0;0
19.0218;0.05;0;0
19.4245;0.06;0;0
20;0.08;0;0
20;0.1;0;0
20;0.07;0;0
20;0.09;0;0
